pid,Name,Executable path,CPU percent usage,"Memory Info (Resident Set Size, Virtual Memory Size, Shared, Text, Library, Data, Dirty)"
1,systemd,/sbin/init,0.0,"pmem(rss=12845056, vms=171438080, shared=8388608, text=917504, lib=0, data=21180416, dirty=0)"
2,kthreadd,,0.0,"pmem(rss=0, vms=0, shared=0, text=0, lib=0, data=0, dirty=0)"
3,rcu_gp,,0.0,"pmem(rss=0, vms=0, shared=0, text=0, lib=0, data=0, dirty=0)"
4,rcu_par_gp,,0.0,"pmem(rss=0, vms=0, shared=0, text=0, lib=0, data=0, dirty=0)"
5,slub_flushwq,,0.0,"pmem(rss=0, vms=0, shared=0, text=0, lib=0, data=0, dirty=0)"
6,netns,,0.0,"pmem(rss=0, vms=0, shared=0, text=0, lib=0, data=0, dirty=0)"
8,kworker/0:0H-kblockd,,0.0,"pmem(rss=0, vms=0, shared=0, text=0, lib=0, data=0, dirty=0)"
10,mm_percpu_wq,,0.0,"pmem(rss=0, vms=0, shared=0, text=0, lib=0, data=0, dirty=0)"
11,rcu_tasks_rude_kthread,,0.0,"pmem(rss=0, vms=0, shared=0, text=0, lib=0, data=0, dirty=0)"
12,rcu_tasks_trace_kthread,,0.0,"pmem(rss=0, vms=0, shared=0, text=0, lib=0, data=0, dirty=0)"
13,ksoftirqd/0,,0.0,"pmem(rss=0, vms=0, shared=0, text=0, lib=0, data=0, dirty=0)"
14,rcu_sched,,0.0,"pmem(rss=0, vms=0, shared=0, text=0, lib=0, data=0, dirty=0)"
15,migration/0,,0.0,"pmem(rss=0, vms=0, shared=0, text=0, lib=0, data=0, dirty=0)"
16,idle_inject/0,,0.0,"pmem(rss=0, vms=0, shared=0, text=0, lib=0, data=0, dirty=0)"
18,cpuhp/0,,0.0,"pmem(rss=0, vms=0, shared=0, text=0, lib=0, data=0, dirty=0)"
19,cpuhp/1,,0.0,"pmem(rss=0, vms=0, shared=0, text=0, lib=0, data=0, dirty=0)"
20,idle_inject/1,,0.0,"pmem(rss=0, vms=0, shared=0, text=0, lib=0, data=0, dirty=0)"
21,migration/1,,0.0,"pmem(rss=0, vms=0, shared=0, text=0, lib=0, data=0, dirty=0)"
22,ksoftirqd/1,,0.0,"pmem(rss=0, vms=0, shared=0, text=0, lib=0, data=0, dirty=0)"
24,kworker/1:0H-events_highpri,,0.0,"pmem(rss=0, vms=0, shared=0, text=0, lib=0, data=0, dirty=0)"
25,kdevtmpfs,,0.0,"pmem(rss=0, vms=0, shared=0, text=0, lib=0, data=0, dirty=0)"
26,inet_frag_wq,,0.0,"pmem(rss=0, vms=0, shared=0, text=0, lib=0, data=0, dirty=0)"
27,kauditd,,0.0,"pmem(rss=0, vms=0, shared=0, text=0, lib=0, data=0, dirty=0)"
28,khungtaskd,,0.0,"pmem(rss=0, vms=0, shared=0, text=0, lib=0, data=0, dirty=0)"
31,oom_reaper,,0.0,"pmem(rss=0, vms=0, shared=0, text=0, lib=0, data=0, dirty=0)"
32,writeback,,0.0,"pmem(rss=0, vms=0, shared=0, text=0, lib=0, data=0, dirty=0)"
33,kcompactd0,,0.0,"pmem(rss=0, vms=0, shared=0, text=0, lib=0, data=0, dirty=0)"
34,ksmd,,0.0,"pmem(rss=0, vms=0, shared=0, text=0, lib=0, data=0, dirty=0)"
36,khugepaged,,0.0,"pmem(rss=0, vms=0, shared=0, text=0, lib=0, data=0, dirty=0)"
37,kintegrityd,,0.0,"pmem(rss=0, vms=0, shared=0, text=0, lib=0, data=0, dirty=0)"
38,kblockd,,0.0,"pmem(rss=0, vms=0, shared=0, text=0, lib=0, data=0, dirty=0)"
39,blkcg_punt_bio,,0.0,"pmem(rss=0, vms=0, shared=0, text=0, lib=0, data=0, dirty=0)"
40,xen-balloon,,0.0,"pmem(rss=0, vms=0, shared=0, text=0, lib=0, data=0, dirty=0)"
41,tpm_dev_wq,,0.0,"pmem(rss=0, vms=0, shared=0, text=0, lib=0, data=0, dirty=0)"
42,ata_sff,,0.0,"pmem(rss=0, vms=0, shared=0, text=0, lib=0, data=0, dirty=0)"
43,md,,0.0,"pmem(rss=0, vms=0, shared=0, text=0, lib=0, data=0, dirty=0)"
44,edac-poller,,0.0,"pmem(rss=0, vms=0, shared=0, text=0, lib=0, data=0, dirty=0)"
45,devfreq_wq,,0.0,"pmem(rss=0, vms=0, shared=0, text=0, lib=0, data=0, dirty=0)"
